native-none,ft,A,5,8,L2-RQSTS-DEMAND-DATA-RD-HIT,58965285
native-none,ft,A,6,8,L2-RQSTS-DEMAND-DATA-RD-HIT,58965321
native-none,ft,A,7,8,L2-RQSTS-DEMAND-DATA-RD-HIT,58965360
native-none,mg,W,0,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,W,1,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,W,2,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,W,3,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,W,4,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,W,5,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,W,6,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,W,7,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,W,8,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,W,9,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,W,10,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,W,11,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,bt,B,0,12,L2-RQSTS-PF-MISS,5565104
native-none,bt,B,1,12,L2-RQSTS-PF-MISS,5565435
native-none,bt,B,2,12,L2-RQSTS-PF-MISS,5565436
native-none,bt,B,3,12,L2-RQSTS-PF-MISS,5565438
native-none,bt,B,4,12,L2-RQSTS-PF-MISS,5565440
native-none,bt,B,5,12,L2-RQSTS-PF-MISS,5565441
native-none,bt,B,6,12,L2-RQSTS-PF-MISS,5565444
native-none,bt,B,7,12,L2-RQSTS-PF-MISS,5565446
native-none,bt,B,8,12,L2-RQSTS-PF-MISS,5565447
native-none,bt,B,9,12,L2-RQSTS-PF-MISS,5565449
native-none,bt,B,10,12,L2-RQSTS-PF-MISS,5565451
native-none,bt,B,11,12,L2-RQSTS-PF-MISS,5565452
native-none,ua,B,0,8,PAPI-TOT-CYC,91585944672
native-none,ua,B,1,8,PAPI-TOT-CYC,91603271954
native-none,ua,B,2,8,PAPI-TOT-CYC,91603284823
native-none,ua,B,3,8,PAPI-TOT-CYC,91603297095
native-none,ua,B,4,8,PAPI-TOT-CYC,91603308654
native-none,ua,B,5,8,PAPI-TOT-CYC,91603319899
native-none,ua,B,6,8,PAPI-TOT-CYC,91603331730
native-none,ua,B,7,8,PAPI-TOT-CYC,91603342324
native-none,ep,W,0,1,PAPI-TOT-CYC,4571870595
native-none,mg,B,0,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,B,1,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,B,2,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,B,3,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,B,4,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,B,5,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,B,6,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,B,7,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,B,8,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,B,9,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,B,10,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,mg,B,11,12,OFFCORE-RESPONSE-0-PF-L2-RFO-ANY-RESPONSE,0
native-none,is,A,0,1,L2-RQSTS-DEMAND-DATA-RD-HIT,911125
native-none,ep,A,0,4,OFFCORE-REQUESTS-ALL-DATA-RD,5425758
native-none,ep,A,1,4,OFFCORE-REQUESTS-ALL-DATA-RD,5454786
native-none,ep,A,2,4,OFFCORE-REQUESTS-ALL-DATA-RD,5455148
native-none,ep,A,3,4,OFFCORE-REQUESTS-ALL-DATA-RD,5455510
native-none,lu,A,0,2,OFFCORE-RESPONSE-0-PF-L2-RFO-L3-HIT-SNP-ANY,0
native-none,lu,A,1,2,OFFCORE-RESPONSE-0-PF-L2-RFO-L3-HIT-SNP-ANY,0
native-none,ep,W,0,4,PAPI-TOT-CYC,1147156635
native-none,ep,W,1,4,PAPI-TOT-CYC,1163896235
native-none,ep,W,2,4,PAPI-TOT-CYC,1163902695
native-none,ep,W,3,4,PAPI-TOT-CYC,1163908965
native-none,mg,A,0,2,OFFCORE-RESPONSE-0-PF-L2-RFO-L3-HIT-SNP-HITM,0
native-none,mg,A,1,2,OFFCORE-RESPONSE-0-PF-L2-RFO-L3-HIT-SNP-HITM,0
native-none,lu,A,0,8,PAPI-TOT-CYC,14808269624
native-none,lu,A,1,8,PAPI-TOT-CYC,14825316611
native-none,lu,A,2,8,PAPI-TOT-CYC,14825328979
native-none,lu,A,3,8,PAPI-TOT-CYC,14825340761
native-none,lu,A,4,8,PAPI-TOT-CYC,14825352058
native-none,lu,A,5,8,PAPI-TOT-CYC,14825362986
native-none,lu,A,6,8,PAPI-TOT-CYC,14825373965
native-none,lu,A,7,8,PAPI-TOT-CYC,14825385285
native-none,lu,A,0,2,PAPI-TOT-INS,109388107802
native-none,lu,A,1,2,PAPI-TOT-INS,109428741082
native-none,sp,B,0,4,OFFCORE-RESPONSE-0-PF-L2-DATA-RD-L3-HIT-SNP-HITM,0
native-none,sp,B,1,4,OFFCORE-RESPONSE-0-PF-L2-DATA-RD-L3-HIT-SNP-HITM,0
native-none,sp,B,2,4,OFFCORE-RESPONSE-0-PF-L2-DATA-RD-L3-HIT-SNP-HITM,0
native-none,sp,B,3,4,OFFCORE-RESPONSE-0-PF-L2-DATA-RD-L3-HIT-SNP-HITM,0
native-none,ep,A,0,2,L2-RQSTS-DEMAND-DATA-RD-HIT,22153450
native-none,ep,A,1,2,L2-RQSTS-DEMAND-DATA-RD-HIT,22273139
native-none,mg,B,0,8,OFFCORE-RESPONSE-0-PF-L2-RFO-L3-HIT-SNP-ANY,0
native-none,mg,B,1,8,OFFCORE-RESPONSE-0-PF-L2-RFO-L3-HIT-SNP-ANY,0
native-none,mg,B,2,8,OFFCORE-RESPONSE-0-PF-L2-RFO-L3-HIT-SNP-ANY,0
native-none,mg,B,3,8,OFFCORE-RESPONSE-0-PF-L2-RFO-L3-HIT-SNP-ANY,0
native-none,mg,B,4,8,OFFCORE-RESPONSE-0-PF-L2-RFO-L3-HIT-SNP-ANY,0
native-none,mg,B,5,8,OFFCORE-RESPONSE-0-PF-L2-RFO-L3-HIT-SNP-ANY,0
native-none,mg,B,6,8,OFFCORE-RESPONSE-0-PF-L2-RFO-L3-HIT-SNP-ANY,0
native-none,mg,B,7,8,OFFCORE-RESPONSE-0-PF-L2-RFO-L3-HIT-SNP-ANY,0
native-none,mg,W,0,8,OFFCORE-RESPONSE-0-PF-L2-RFO-L3-HIT-SNP-ANY,0
native-none,mg,W,1,8,OFFCORE-RESPONSE-0-PF-L2-RFO-L3-HIT-SNP-ANY,0
native-none,mg,W,2,8,OFFCORE-RESPONSE-0-PF-L2-RFO-L3-HIT-SNP-ANY,0
