version,app,cpu,threads,metric,value
sniper-l1,ep,7,12,ipc,0.223359905998
sniper-l1,ep,7,12,cycles,16021950783
sniper-l1,ep,7,12,l2-rqsts-demand-data-rd-all,6533756
sniper-l1,ep,7,12,l2-rqsts-demand-data-rd-miss,1663673
sniper-l1,ep,7,12,l2-rqsts-demand-data-rd-hit,4870083
sniper-l1,ep,7,12,l2_rqsts-all-pf,65516336
sniper-l1,ep,7,12,l2_rqsts-pf-hit,3758087
sniper-l1,ep,7,12,l2_rqsts-pf-miss,61758249
sniper-l1,ep,7,12,l2-lines-out-useless-pref,44781275
sniper-l1,ep,8,12,instructions,3577896220
sniper-l1,ep,8,12,ipc,0.223312146517
sniper-l1,ep,8,12,cycles,16021950779
sniper-l1,ep,8,12,l2-rqsts-demand-data-rd-all,6529728
sniper-l1,ep,8,12,l2-rqsts-demand-data-rd-miss,1660400
sniper-l1,ep,8,12,l2-rqsts-demand-data-rd-hit,4869328
sniper-l1,ep,8,12,l2_rqsts-all-pf,65107761
sniper-l1,ep,8,12,l2_rqsts-pf-hit,3734996
sniper-l1,ep,8,12,l2_rqsts-pf-miss,61372765
sniper-l1,ep,8,12,l2-lines-out-useless-pref,44486577
sniper-l1,ep,9,12,instructions,3578386576
sniper-l1,ep,9,12,ipc,0.223342751781
sniper-l1,ep,9,12,cycles,16021950779
sniper-l1,ep,9,12,l2-rqsts-demand-data-rd-all,6543403
sniper-l1,ep,9,12,l2-rqsts-demand-data-rd-miss,1663449
sniper-l1,ep,9,12,l2-rqsts-demand-data-rd-hit,4879954
sniper-l1,ep,9,12,l2_rqsts-all-pf,65917434
sniper-l1,ep,9,12,l2_rqsts-pf-hit,3803876
sniper-l1,ep,9,12,l2_rqsts-pf-miss,62113558
sniper-l1,ep,9,12,l2-lines-out-useless-pref,44997642
sniper-l1,ep,10,12,instructions,3576383068
sniper-l1,ep,10,12,ipc,0.223217704017
sniper-l1,ep,10,12,cycles,16021950784
sniper-l1,ep,10,12,l2-rqsts-demand-data-rd-all,6534823
sniper-l1,ep,10,12,l2-rqsts-demand-data-rd-miss,1691774
sniper-l1,ep,10,12,l2-rqsts-demand-data-rd-hit,4843049
sniper-l1,ep,10,12,l2_rqsts-all-pf,65701770
sniper-l1,ep,10,12,l2_rqsts-pf-hit,3765494
sniper-l1,ep,10,12,l2_rqsts-pf-miss,61936276
sniper-l1,ep,10,12,l2-lines-out-useless-pref,44812023
sniper-l1,ep,11,12,instructions,3576488750
sniper-l1,ep,11,12,ipc,0.223224300093
sniper-l1,ep,11,12,cycles,16021950784
sniper-l1,ep,11,12,l2-rqsts-demand-data-rd-all,6525393
sniper-l1,ep,11,12,l2-rqsts-demand-data-rd-miss,1694092
sniper-l1,ep,11,12,l2-rqsts-demand-data-rd-hit,4831301
sniper-l1,ep,11,12,l2_rqsts-all-pf,65159687
sniper-l1,ep,11,12,l2_rqsts-pf-hit,3753869
sniper-l1,ep,11,12,l2_rqsts-pf-miss,61405818
sniper-l1,ep,11,12,l2-lines-out-useless-pref,44485419
sniper-l1,cg,0,1,instructions,8252366213
sniper-l1,cg,0,1,ipc,1.00923091
sniper-l1,cg,0,1,cycles,8176886113
sniper-l1,cg,0,1,l2-rqsts-demand-data-rd-all,742461989
sniper-l1,cg,0,1,l2-rqsts-demand-data-rd-miss,150279241
sniper-l1,cg,0,1,l2-rqsts-demand-data-rd-hit,592182748
sniper-l1,cg,0,1,l2_rqsts-all-pf,18575165
sniper-l1,cg,0,1,l2_rqsts-pf-hit,1896293
sniper-l1,cg,0,1,l2_rqsts-pf-miss,16678872
sniper-l1,cg,0,1,l2-lines-out-useless-pref,16435007
sniper-l1,cg,0,4,instructions,2098717071
sniper-l1,cg,0,4,ipc,0.639489567657
sniper-l1,cg,0,4,cycles,3281862874
sniper-l1,cg,0,4,l2-rqsts-demand-data-rd-all,187035919
sniper-l1,cg,0,4,l2-rqsts-demand-data-rd-miss,38801193
sniper-l1,cg,0,4,l2-rqsts-demand-data-rd-hit,148234726
sniper-l1,cg,0,4,l2_rqsts-all-pf,4097475
sniper-l1,cg,0,4,l2_rqsts-pf-hit,493511
sniper-l1,cg,0,4,l2_rqsts-pf-miss,3603964
sniper-l1,cg,0,4,l2-lines-out-useless-pref,3528869
sniper-l1,cg,1,4,instructions,2167219580
sniper-l1,cg,1,4,ipc,0.660362618109
sniper-l1,cg,1,4,cycles,3281862904
sniper-l1,cg,1,4,l2-rqsts-demand-data-rd-all,184152474
sniper-l1,cg,1,4,l2-rqsts-demand-data-rd-miss,38116801
sniper-l1,cg,1,4,l2-rqsts-demand-data-rd-hit,146035673
sniper-l1,cg,1,4,l2_rqsts-all-pf,4417997
sniper-l1,cg,1,4,l2_rqsts-pf-hit,589902
sniper-l1,cg,1,4,l2_rqsts-pf-miss,3828095
sniper-l1,cg,1,4,l2-lines-out-useless-pref,3694260
sniper-l1,cg,2,4,instructions,2123659647
sniper-l1,cg,2,4,ipc,0.647089687854
sniper-l1,cg,2,4,cycles,3281862911
sniper-l1,cg,2,4,l2-rqsts-demand-data-rd-all,186328093
sniper-l1,cg,2,4,l2-rqsts-demand-data-rd-miss,38645558
sniper-l1,cg,2,4,l2-rqsts-demand-data-rd-hit,147682535
sniper-l1,cg,2,4,l2_rqsts-all-pf,4532024
