version,app,cpu,threads,metric,value
zsim,ua,8,12,instructions,14502281250
zsim,ua,8,12,l2-rqsts-demand-data-rd-hit,101118262
zsim,ua,8,12,l2-rqsts-demand-data-rd-miss,84256976
zsim,ua,9,12,cycles,16273886167
zsim,ua,9,12,instructions,14366401748
zsim,ua,9,12,l2-rqsts-demand-data-rd-hit,101516576
zsim,ua,9,12,l2-rqsts-demand-data-rd-miss,84956049
zsim,ua,10,12,cycles,16211993880
zsim,ua,10,12,instructions,14197228740
zsim,ua,10,12,l2-rqsts-demand-data-rd-hit,102707320
zsim,ua,10,12,l2-rqsts-demand-data-rd-miss,84842272
zsim,ua,11,12,cycles,16109142373
zsim,ua,11,12,instructions,14032645390
zsim,ua,11,12,l2-rqsts-demand-data-rd-hit,104383781
zsim,ua,11,12,l2-rqsts-demand-data-rd-miss,83575735
zsim,mg,0,12,cycles,1724215231
zsim,mg,0,12,instructions,1239416599
zsim,mg,0,12,l2-rqsts-demand-data-rd-hit,6048587
zsim,mg,0,12,l2-rqsts-demand-data-rd-miss,21083569
zsim,mg,1,12,cycles,1722950112
zsim,mg,1,12,instructions,1236177687
zsim,mg,1,12,l2-rqsts-demand-data-rd-hit,6119076
zsim,mg,1,12,l2-rqsts-demand-data-rd-miss,21092946
zsim,mg,2,12,cycles,1722950544
zsim,mg,2,12,instructions,1235611133
zsim,mg,2,12,l2-rqsts-demand-data-rd-hit,6117461
zsim,mg,2,12,l2-rqsts-demand-data-rd-miss,21096047
zsim,mg,3,12,cycles,1722950501
zsim,mg,3,12,instructions,1236795688
zsim,mg,3,12,l2-rqsts-demand-data-rd-hit,6132052
zsim,mg,3,12,l2-rqsts-demand-data-rd-miss,21094194
zsim,mg,4,12,cycles,1714714785
zsim,mg,4,12,instructions,1228965629
zsim,mg,4,12,l2-rqsts-demand-data-rd-hit,5912980
zsim,mg,4,12,l2-rqsts-demand-data-rd-miss,20279500
zsim,mg,5,12,cycles,1716075880
zsim,mg,5,12,instructions,1228201021
zsim,mg,5,12,l2-rqsts-demand-data-rd-hit,5913872
zsim,mg,5,12,l2-rqsts-demand-data-rd-miss,20253504
zsim,mg,6,12,cycles,1720417668
zsim,mg,6,12,instructions,1227518531
zsim,mg,6,12,l2-rqsts-demand-data-rd-hit,5893411
zsim,mg,6,12,l2-rqsts-demand-data-rd-miss,20226253
zsim,mg,7,12,cycles,1721923133
zsim,mg,7,12,instructions,1227203510
zsim,mg,7,12,l2-rqsts-demand-data-rd-hit,5856383
zsim,mg,7,12,l2-rqsts-demand-data-rd-miss,20271288
zsim,mg,8,12,cycles,1718206052
zsim,mg,8,12,instructions,1227199663
zsim,mg,8,12,l2-rqsts-demand-data-rd-hit,5731621
zsim,mg,8,12,l2-rqsts-demand-data-rd-miss,20114715
zsim,mg,9,12,cycles,1715195998
zsim,mg,9,12,instructions,1228136517
zsim,mg,9,12,l2-rqsts-demand-data-rd-hit,5728140
zsim,mg,9,12,l2-rqsts-demand-data-rd-miss,20000211
zsim,mg,10,12,cycles,1716194857
zsim,mg,10,12,instructions,1227937810
zsim,mg,10,12,l2-rqsts-demand-data-rd-hit,5737870
zsim,mg,10,12,l2-rqsts-demand-data-rd-miss,19970786
zsim,mg,11,12,cycles,1717534858
zsim,mg,11,12,instructions,1227201725
zsim,mg,11,12,l2-rqsts-demand-data-rd-hit,5761409
zsim,mg,11,12,l2-rqsts-demand-data-rd-miss,19940274
zsim,lu,0,12,cycles,12939481876
zsim,lu,0,12,instructions,19817744245
